Number,Title,Description,Latitude,Longtitude
20023,TMU N02 060.0 N,N02 Between Collon and Ardee Hunterstown Co. Louth,53.82612,-6.5328
20024,TMU N02 130.0 S,N02 Between NI Border and Emyvale Mullinderg Co. Monaghan,54.39058,-6.97313
20031,TMU R147 020.0 N,R147 Between Dunshaughlin and Navan Tara Co. Meath,53.57967,-6.58737
20032,TMU R147 040.0 S,R147 (Old N03) Between Kells and Navan Martry Co. Meath,53.69842,-6.78932
20033,TMU R147 010.0 S,R147 (Old N03) Between Blackbull and Dunshaughlin Co. Meath,53.49123,-6.52254
20034,TMU N03 100.0 S,N03 Between Virginia and Cavan Poles Co. Cavan.,53.99095,-7.28958
20035,TMU N03 115.0 N,N03 Between R188 LHS on slip and RHS on slip Junctions Cavan Bypass Co. Cavan,54.01177,-7.34162
20036,TMU N03 120.0 N,N03 Between Belturbet and George Mitchell Bridge at NI Border Belturbet Co. Cavan,54.12109,-7.48169
20041,TMU M04 015.0 E,M04 Between Jn06 Celbridge and Jn07 Maynooth Maynooth Co. Kildare,53.36438,-6.56185
20042,TMU M04 020.0 W,M04 MaynoothWest Co. Kildare,53.37465,-6.62558
20044,TMU M04 070.0 E,M04 Between Jn16 Delvin and Jn17 Castlepollard Mullingar Bypass Co. Westmeath,53.54357,-7.3196
20045,TMU N04 110.0 W,N04 Between Dublin Road and Granard Road Roundabouts Longford Bypass Co. Longford,53.72244,-7.76268
20046,TMU N04 130.0 E,N04 Between Longford and Carrick-on-Shannon Dromod Bypass Co. Leitrim,53.8827,-7.9362
20047,TMU N04 000.0 W,N04 Between Jn01 N4/M50 and Jn02 Liffey Valley Liffey Valley Co. Dublin,53.3555,-6.39533
20051,TMU N05 050.0 W,N05 Between Tulsk and Frenchpark Frenchpark Co. Roscommon,53.86358,-8.40136
20061,TMU M06 010.0 W,M06 Between Jn02 Kinnegad (West) and Jn03 Rochfortbridge Co. Meath,53.4318,-7.22018
20062,TMU M06 025.0 W,M06 Between Jn04 Tyrrellspass and Jn05 Tullamore Kilbeggan Co. Westmeath,53.35916,-7.44539
20063,TMU M06 035.0 W,M06 Between Jn05 Tullamore and Jn06 Moate (East) Horseleap Co. Westmeath,53.38363,-7.58138
20064,TMU M06 060.0 S,M06 Between Jn07 Moate (West) and Jn08 Ferbane Athlone East Co. Westmeath,53.41239,-7.88602
20065,TMU N06 060.0 W,N06 Between Jn11 Athlone (Centre) and Jn12 Roscommon  Athlone Bypass Co. Westmeath,53.43438,-7.94832
20066,TMU R446 070.0 W,R446 (Old N06) Between Athlone and Ballinasloe Ballydangan Co. Roscommon,53.3616,-8.06759
20067,TMU R446 120.0 E,R446 (Old N06) Between Loughrea and Ballinasloe Cappataggle Go. Galway,53.27069,-8.3994
20071,TMU N07 020.0 E,N07 Between Jn07 Kill and Jn08 Johnstown Kill Co. Kildare,53.25016,-6.5907
20072,TMU M07 025.0 E ,M07 Between Jn09 Naas North and Jn10 Nass South Naas Bypass Co. Kildare,53.24144,-6.66288
20073,TMU M07 030.0 W,M07 Between Jn10 Naas South and Jn11 M7/M9 Lewistown Co. Kildare ,53.18341,-6.7355
20074,TMU M07 035.0 E,M07 Between Jn12 Newbridge and Jn M07/M09  Greatconnell Co. Kildare ,53.16645,-6.76811
20075,TMU M07 040.0 E,M07 Between Jn12 Newbridge and Jn13 Kildare The Curragh Co. Kildare,53.1588,-6.85208
20076,TMU M07 045.0 E,M07 Between Jn13 Kildare and Jn14 Monasterevin Kildare Town Co. Kildare,53.15473,-6.95265
20077,TMU M07 065.0 W,M07 Between Jn14 Monasterevin and Jn15 Ballybrittas New Inn Co. Laois,53.09198,-7.16771
20078,TMU M07 070.0 W,M07 Between Jn15 Ballybrittas and Jn16 Portlaoise (East) Ballydavis Co. Laois,53.05261,-7.23607
20079,TMU M07 080.0 E,M07 Between Jn16 Portlaoise (East) and Jn17 Portlaoise (Centre) Co. Laois,53.01308,-7.29836
20081,TMU N77 050.0 S,N77 Between Portlaoise and Abbeyleix South of M7 Jn17 Portlaoise (Central) Portlaoise Co. Laois,53.00523,-7.3046
20082,TMU N77 030.0 S,N77 Between Abbeyleix and Durrow Kilamuck Co. Laois,52.88282,-7.36429
20083,TMU M08 060.0 N,M08 Between Jn09 Cashel (South) and Jn10 Cahir (North) Cashel Co. Tipperary,52.47978,-7.90648
20084,TMU M08 035.0 N,M08 Between Jn04 Urlingford and Jn05 Twomileborris Twomileborris Co. Tipperary,52.6702,-7.695
20085,TMU M08 140.0 S,M08 Between Jn18 Glanmire and Jn19 N8/N25 Dunkettle Glanmire Co. Cork,51.9161,-8.38155
20086,TMU M08 105.0 S,M08 Between Jn13 Mitchelstown (South) Jn14 Fermoy(North) Mitchelstown Co. Cork,52.21668,-8.28182
20087,TMU M08 050.0 N,M08 Between Jn06 Thurles and Jn07 Cashel (North) Cashel Co. Tipperary,52.55771,-7.85157
20088,TMU M08 040.0 N,M08 Between Jn05 Twomileborris and Jn06 Thurles Thurles Co. Tipperary,52.6611,-7.72258
20089,TMU M08 020.0 N,M08 Between Jn03 Rathdowney and Jn04 Urlingford Glashare Co. Kilkenny,52.78875,-7.52357
20091,TMU M09 020.0 S,M09 Between Jn02 Kilcullen and Jn03 Athy Crookstown Co. Kildare,53.02617,-6.81739
20092,TMU M09 030.0 S,M09 Between Jnc 3 Kilcullen and Jnc 4 Castledermot Co. Kildare,52.91377,-6.8652
20093,TMU M09 111.0 N,M09 Between Jn11 Mullinavat and Jn12 M9/N24/N25 Grannagh Mullinavat Co. Kilkenny,52.36673,-7.1653
20094,TMU M09 110.0 N,M09 Between Jn10 Knocktopher and Jn11 Mullinavat Co. Kilkenny,52.38173,-7.17208
20111,TMU M11 015.0 S,M11 Between Jn5 Bray North and Jn6 Bray Central  Fassaroe  Co. Wicklow,53.20248,-6.1296
20112,TMU N11 020.0 N,N11 Between Jn8 Kilmacanogue and Jn9  Glen of the Downs Kilmacanogue Co Wicklow,53.15905,-6.12795
20113,TMU N11 050.0 S,R772 (old N11) Jack Whites North of Arklow Co. Wicklow,52.89786,-6.10092
20114,TMU N11 060.0 S,M11 Between Jn19 Brittas Bay and Jn20 Arklow North Arklow North Co Wicklow,52.82218,-6.14266
20115,TMU M11 070.0 N,M11 Between Jn21 Arklow South and and Jn22 Tinnock Arklow South Co. Wicklow,52.77216,-6.18398
20116,TMU M11 080.0 N,M11 Between Jn22 Tinnock and Jn23 Courtown Gorey Co. Wexford,52.67383,-6.25803
20117,TMU M11 085.0 S,M11 Between Jn23 Courtown and Clogh Roundabout Gorey South Co. Wexford,52.65503,-6.30403
20118,TMU M11 040.0 N,M11 Between Jn15  and J16 Rathnew Co. Wicklow,53.00297,-6.09087
20119,TMU M11 044.0 N,M11 Between jn 18 and Jn 19 Glenealy,52.94296,-6.11081
20151,TMU N15 030.0 N,N15 Between Ballybofey and Donegal Town North of Baresmore Co. Donegal,54.757,-7.89482
20152,TMU N15 050.0 S,N15 Between Ballyshannon and Donegal Town Donegal Town Bypass Co. Donegal,54.64502,-8.08635
20153,TMU N15 080.0 N,N15 Between Bundoran and Sligo Tullaghan Co. Leitrim,54.4622,-8.36523
20171,TMU N17 105.0 S,N17 Between Tuam and Claregalway North of N63 Jn Co. Galway,53.40764,-8.91069
20172,TMU N17 110.0 N,N17 Between Claregalway and N63 Jn Laghtgeorge Co. Galway,53.355,-8.9328
20181,TMU M18 060.0 N,M18 Between Jn13 Tulla Road and Jn14 Barefield Ennis North Co Clare ,52.86959,-8.94053
20182,TMU M18 070.0 S,M18 Between Jn11 Dromoland and Jn12 Killow Ennis South Co Clare,52.80833,-8.93139
20183,TMU N18 080.0 N,N18 Between Jn7 Sixmilebridge and Jn8 Ballycasey Hurlerscross Co Clare.,52.71729,-8.84375
20184,TMU N18 090.0 N,N18 Between Jn4 Cratloemoyle and Jn5  Cratloe Cratloe Co Clare,52.68842,-8.73878
20185,TMU M18 050.0 N,M18 Between Jn15 Crusheen and Jn16 Gort Co Clare.,52.95824,-8.89035
20186,TMU M18 055.0 S,M18 Between Jn14 Barefield and Jn15 Crusheen Crusheen Co Clare.,52.92631,-8.91552
20201,TMU N20 010.0 N,N20 Between Blarney and Cork Blackpool Co. Cork,51.93303,-8.53211
20202,TMU N20 080.0 N,N20 Between Croom and M20 Croom North Co.Limerick,52.57027,-8.72005
20203,TMU M20 095.0 N,M20 Between Jn03 Ballycummin and Jn04 Patrickswell Rootiagh  Co. Limerick,52.6086,-8.66921
20204,TMU N20 020.0 S,N20 Between Blarney and Mallow Lissavoura Co. Cork,52.03357,-8.6079
20205,TMU M20 090.0 N,M20 Between Jn02 Loughmore and Jn03 Ballycummin Co. Limerick,52.61863,-8.6457
20211,TMU N21 040.0 S,N21 Between Abbeyfeale and R551 Jn Templeglantine Co. Limerick,52.38221,-9.22114
20212,TMU N21 000.0 S,N21 Between Adare and M20 Jn Nouborough Co. Limerick,52.57864,-8.75221
20221,TMU N22 110.0 E,N22 Between Tralee and Farranfore Flemby Co. Kerry,52.23527,-9.6004
20222,TMU N22 010.0 E,N22 Between Ballincollig and Ovens Ballincollig Co. Cork,51.87858,-8.64464
20223,TMU N22 010.0 W,N22 South of Carrigohane Poulavone Co. Cork,51.88714,-8.56911
20224,TMU N22 060.0 E,N22 Between Killarney and Macroom Ballyvourney Co. Cork,51.95679,-9.19034
20241,TMU N24 070.0 W,N24 Between Clonmel and Cahir Woodroffe Co. Tipperary,52.37409,-7.79017
20242,TMU N24 060.0 E,N24 North of Cahir Kilemly Co. Tipperary,52.39473,-7.90783
20243,TMU N24 000.0 W,N24 Between Ballysimon and R513 Jn Killonan Co. Limerick,52.63854,-8.53691
20251,TMU N25 190.0 W,N25 Southwest of Rosslare Harbour Kilraine Co. Wexford,52.24288,-6.34888
20252,TMU N25 150.0 E,N25 Between NewRoss and Wexford Town Carrickbyrne Co. Wexford,52.36016,-6.78815
20253,TMU N25 120.0 W,N25 Between New Ross and Waterford City Glenmore Co. Waterford,52.32547,-7.05566
20254,TMU R711 000.0 E,R711 Edmond Rice Bridge Waterford City Co. Waterford,52.2652,-7.11844
20255,TMU N25 070.0 W,N25 Northeast of Dungarvan Skehanard Co. Waterford,52.10524,-7.60386
20256,TMU N25 010.0 E,N25 Carrigtohill Bypass Carrigtohill Co. Cork,51.90645,-8.27244
20257,TMU N25 005.0 E,N25 Between Littleisland and Carigtohill Tullegreinne Co. Cork,51.90628,-8.28723
20258,TMU N25 000.0 E,N25 At the Interchange Between N25 and N28 Littleisland Co. Cork ,51.90728,-8.35638
20301,TMU N30 030.0 E,N30 Between New Ross and Enniscorthy Scarke Co. Wexford,52.41814,-6.89601
20511,TMU N51 010.0 E,N51 Between Navan and Slane Carrickdexter Co. Meath,53.70527,-6.57712
20521,TMU N52 080.0 W,N52 Between Delvin and Mullingar Delvin Co. Westmeath,53.60284,-7.10352
20522,TMU N52 110.0 E,N52 North of Tyrrellspass Co. Westmeath,53.3937,-7.37061
20523,TMU N52 115.0 E,N52 Between Tullamore and Kilbeggan Co. Westmeath,53.35323,-7.49666
20524,TMU N52 130.0 E,N52 Southwest of Tullamore Co. Offaly,53.2432,-7.57212
20525,TMU N52 010.0 W,N52 Between Dundalk and M1 Dundalk (Southlink) Co. Louth,53.97095,-6.41903
20526,TMU N52 000.0 W,N52 North of Dundalk Co. Louth,54.01086,-6.39227
20561,TMU N56 150.0 N,N56 Between Letterkenny and Ellistrin Mountaintop Co. Donegal,54.99359,-7.72934
20562,TMU N56 070.0 S,N56 Between Dungloe and R252 Jn Co. Donegal ,54.93434,-8.32332
20563,TMU N56 000.0 S,N56 North of Donegal Drumrooske Co. Donegal,54.66156,-8.10466
20591,TMU N59 130.0 S,N59 Between Mullranny and Newport Newfield Co. Mayo,53.9058,-9.67708
20592,20592,N59 East of Maam Cross Co. Galway,53.45572,-9.53712
20601,TMU N60 070.0 E,N60 Between Balla and Claremorris Ballynastangfod Co. Mayo,53.76328,-9.04588
20611,TMU N61 020.0 N,N61 Between Athlone and Roscommom Newtown Co. Roscommon,53.60974,-8.13158
20621,TMU N62 050.0 N,N62 Between Roscrea and Birr Sharavogue Co Offaly,52.9812,-7.84493
20671,TMU N67 060.0 E,N67 Between Ennistimon and Lisdoonvarna Co. Clare,52.95414,-9.28551
20691,20691,N69 Between Listowel and Tarbert Ahalahana Co. Kerry,52.51496,-9.39244
20701,TMU N70 090.0 E,N70 Between Caherciveen and Glenbeigh Gortaforia Co. Kerry,52.0309,-10.08797
20721,TMU N72 120.0 E,N72 Between Fermoy and Ballyhooley Castlehyde Co. Cork,52.14292,-8.3342
20801,TMU N80 000.0 N,N80 South N80/N52 Jn Tullamore Co. Offaly,53.25241,-7.47739
20802,TMU N80 090.0 S,N80 Between Ballon and Kildavin  Ballyhealy Co Wexford,52.70786,-6.7079
20811,TMU N81 040.0 N,N81 Between Hollywood and Baltinglass Donard Co. Wicklow,53.02845,-6.63954
20812,TMU N81 080.0 N,N81 Between Tullow and N81/N80 Jn Co. Carlow,52.73812,-6.74603
20861,TMU N86 040.0 W,N86 Between Dingle and Annascaul Emlagh Co. Kerry,52.14043,-10.1926
20905,TMU M09 054.0 N,M09 Between Jn06 Carlow (South) and Jn07 Paulstown Powerstown Co. Carlow,52.7647,-6.96793
20906,TMU M09 070.0 N,M09 Between Jn07 and Jn08 Jordanstown Co. Kilkenny,52.6758,-7.0462
20907,TMU M09 075.0 N,M09 Between Jn08 Kilkenny and Jn09 Kilkenny (South) Co. Kilkenny,52.62807,-7.15348
20908,TMU M09 080.0 N,M09 Between Jn09 Kilkenny (South) and Jn10 Knocktopher Danesfort Co. Kilkenny,52.568,-7.23645
31021,TMU M01 038.0 S,M1-2 M01 Southbound Off Slip Jn09 - TMU,53.70389,-6.38548
31031,TMU M01 035.0 N,M01 Between  Jn 07 Julinstown and Jn08 Drogheda South Co. Louth,53.67088,-6.34837
31041,TMU M01 038.0 N,M1-4 M01 Northbound On-Slip Jn09 - TMU,53.70388,-6.38693
31061,TMU M01 064.0 S,M1-6 M01 Castlebellingham Jn15 to Jn16,53.91577,-6.41611
32501,TMU N25 105.0E,N25 Between R680 and R710 Junctions (Kilmeaden Bypass) ,52.24051,-7.24209
32502,TMU N25 115.0E,N25 between N09 and N29 Junctions (Waterford Bypass North),52.28926,-7.08049
33111,TMU M03 041.0 N,TME 11 M03 Jn09 to Jn10,53.64825,-6.75016
70001,JTMS Camera N7 Node 1,N07 Eastbound Between Jn05 Athgoe and Jn06 Castlewarden Kilteel Co. Kildare ,53.26006,-6.54598
70002,JTMS Camera N7 Node 2,M07 Between Jn10 Naas South and Jn11 M7/M9 Lewistown Co. Kildare ,53.18341,-6.73548
90042,90042,M04 Maynooth West Co.Kildare,53.37468,-6.62569
90073,90073,M07 Between Jn10 Naas South and Jn11 M07/M09 Lewistown Co. Kildare ,53.18341,-6.735
90117,90117,M11 Between Jn23 and Jn24 Gorey Co. Wexford,52.65503,-6.30403
91015,WIM Site 1015 reprocessed data,WIM Site 1015 reprocessed data,,
91037,WIM Site 1037 reprocessed data,WIM Site 1037 reprocessed data,53.4486,-6.47488
200171,TMU N01 090.0 N,N01 Between Jn19 Ravensdale and Jn20 Jonesborough (Northbound) Ravensdale Co. Louth,54.09455,-6.36099
200172,TMU N01 085.0 S,N01 Between Jn19 Ravensdale and Jn20 Jonesborough (Southbound) Ravensdale Co Louth,54.09501,-6.36068
200711,TMU R445 070.0 W,R445 Between Borris-in-Ossory and Mountrath Pike of Rushall Co. Laois,52.95053,-7.55977
200713,TMU M07 190.0 W,M07 Between Jn29 M07/N24 Ballysimon and Jn30 M07/M18/20 Rossbrien Rossbrien Co. Limerick,52.63952,-8.58542
200714,TMU R445 150.0 E,R445 Between Castletroy and Annacotty Roundabouts Annacotty Co. Limerick,52.66814,-8.54296
200715,TMU M07 130.0 E,M07 Between Jn23 Moneygall and Jn24 Toomevara Co. Offaly,52.88343,-7.97528
200716,TMU M07 125.0 E,M07 Between Jn22 Roscrea and Jn23 Moneygall Co. Offaly,52.90036,-7.90311
200717,TMU M07 110.0 W,M07 Between Jn21 Bossis-in-Ossory and Jn22 Roscrea Co. Laois,52.9231,-7.65301
200718,TMU M07 145.0 W,M07 Between Jn24 Nenagh and Jn25 Thurles Nenagh Co. Tipperary,52.85476,-8.13971
200719,TMU M07 150.0 W,M07 Between Jn25 Nenagh (Central) and Jn26 Nenagh (West) Nenagh Co. Tipperary,52.84832,-8.16953
200720,TMU M07 170.0 E,M07 Between Jn26 Nenagh (West) and Jn27 Birdhill Birdhill Co. Tipperary,52.76195,-8.39795
200721,TMU M07 170.0 W,M07 Between Jn27 Birdhill and J28 Castletroy Birdhill Co. Tipperary,52.75285,-8.41886
200722,TMU M07 180.0 E,M07 Between Jn28 Castletroy and Jn29 M7/N24 Ballysimon Castletroy Co. Limerick,52.66726,-8.51609
200723,TMU N07 015.0 W,N07 Westbound Between Jn05 Athgoe and Jn06 Castlewarden Kilteel Co. Kildare ,53.25975,-6.5458
200811,"TMU N08 140.0 S ""DATA ADVISEMENT""", N08 Between Glanmire Roundabound and Jn19 N08/N25 Dunkettle Cork,51.90523,-8.39022
200812,TMU M08 130.0 S,M08 Between Jn17 Watergrasshill and Jn18 Glanmire Watergrasshill Co. Cork,51.98734,-8.36293
201081,TMU R108 000.0 N,R108 Between Ballymun and Jn04 M50 Dublin,53.40642,-6.26565
201082,TMU R108 000.0 N,R108 North of M50 Jn04 Ballymun Co. Dublin,53.41255,-6.26542
201321,TMU R132 090.0 N,R132 South of Julianstown Whitecross Co. Meath,53.66797,-6.27883
202103,TMU N21 070.0 N,N21 Castleisland Bypass Mullaghmarky Co. Kerry,52.24753,-9.48204
202104,TMU N21 065.0 N,N21 Castleisland Bypass Dooneen Co. Kerry,52.26234,-9.45752
202301,TMU N23 010.0 S,N23 Castleisland Bypass Kealgorm Co. Kerry,52.22455,-9.47804
202639,TMU R639 010.0 S,R639 Between Exit 15 of M08 and Rathcormac Co. Cork,52.08494,-8.27791
208001,TMU N80 070.0 S,N80 Carlow Town Bypass Co. Carlow,52.84659,-6.93084
900723,900723,N07 Westbound Between Jn05 Athgoe and Jn06 Castlewarden Kilteel Co. Kildare ,53.25975,-6.545
920042,20042 WIM Site reprocessed data,20042 WIM Site reprocessed data,0,0
920073,20073 WIM Site reprocessed data,20073 WIM Site reprocessed data,0,0
2007231,TMU N07 015.0 E,N07 Eastbound Between Jn05 Athgoe and Jn06 Castlewarden Kilteel Co. Kildare ,53.26006,-6.54598
8888888,test,test,53,-6
9200723,200723 WIM Site reprocessed data,200723 WIM Site reprocessed data,53.25975,-6.5458
0000310_2345,M01 310-2345,Amalgamated site from 3102310331043105,53.70946,-6.39387
MAC000000001,Bluetooth Test Site,Test Site bluetooth,53.40847,-6.40554
MAC000004071,Bluetooth 4071,N07 Between Jn02 Kingswood and Jn03 Citywest Kingswood Co. Dublin,53.29789,-6.42507
MAC000004072,Bluetooth 4072,N07 Between Jn01a Newlands Cross and Jn02 Kingswood Co. Dublin,53.30487,-6.4113
MAC000040071,Bluetooth 40071,N07 Between Jn07 Kill and Jn08 Johnstown Kill Co. Kildare,53.24717,-6.5991
MAC000040072,Bluetooth 40072,M07 Between Jn09 Naas(North) and Jn10 Nass(South) Naas Bypass Co. Kildare,53.24144,-6.66288
MAC000040073,Bluetooth 40073,M07 Between Jn10 Naas South and Jn11 M07/M09 Lewistown Co. Kildare,53.18341,-6.7355
MAC000040074,Bluetooth 40074,M07 Between Jn12 Newbridge and Jn M07/M09  Greatconnell Co. Kildare,53.16645,-6.76811
MAC000040075,Bluetooth 40075,M07 Between Jn12 Newbridge and Jn13 Kildare The Curragh Co. Kildare,53.1588,-6.85208
MAC000040076,Bluetooth 40076,M07 Between Jn13 Kildare and Jn14 Monasterevin Kildare Town Co. Kildare,53.15473,-6.95265
MAC000040077,Bluetooth 40077,M07 Between Jn14 Monasterevin and Jn15 Ballybrittas New Inn Co. Laois,53.09198,-7.16771
MAC000040078,Bluetooth 40078,M07 Between Jn15 Ballybrittas and Jn16 Portlaoise (East) Ballydavis Co. Laois,53.05261,-7.23607
MAC000040079,Bluetooth 40079,M07 Between Jn16 Portlaoise (East) and Jn17 Portlaoise (Centre) Co. Laois,53.01308,-7.29836
MAC000400713,Bluetooth 400713,M07 Between Jn29 M07/N24 Ballysimon and Jn30 M07/M18/20 Rossbrien Rossbrien Co. Limerick,52.63952,-8.58542
MAC000400714,Bluetooth 400714,R445 Between Castletroy and Annacotty Roundabouts Annacotty Co. Limerick,52.66814,-8.54296
MAC000400715,Bluetooth 400715,M07 Between Jn23 Moneygall and Jn24 Toomevara Co. Offaly,52.88343,-7.97528
MAC000400716,Bluetooth 400716,M07 Between Jn22 Roscrea and Jn23 Moneygall Co. Offaly,52.90036,-7.90311
MAC000400717,Bluetooth 400717,M07 Between Jn21 Bossis-in-Ossory and Jn22 Roscrea Co. Laois,52.9231,-7.65301
MAC000400718,Bluetooth 400718,M07 Between Jn24 Nenagh and Jn25 Thurles Nenagh Co. Tipperary,52.85476,-8.13971
MAC000400719,Bluetooth 400719,M07 Between Jn25 Nenagh (Central) and Jn26 Nenagh (West) Nenagh Co. Tipperary,52.84832,-8.16953
MAC000400720,Bluetooth 400720,M07 Between Jn26 Nenagh (West) and Jn27 Birdhill Birdhill Co. Tipperary,52.76195,-8.39795
MAC000400721,Bluetooth 400721,M07 Between Jn27 Birdhill and J28 Castletroy Birdhill Co. Tipperary,52.75285,-8.41886
MAC000400722,Bluetooth 400722,M07 Between Jn28 Castletroy and Jn29 M07/N24 Ballysimon Castletroy Co. Limerick,52.66726,-8.51609
MAC000400723,Bluetooth 400723,N07 Westbound Between Jn05 Athgoe and Jn06 Castlewarden Kilteel Co. Kildare,53.25975,-6.5458
